name,rating,review_count,price,latitude,longitude,address,city,state,categories
Yassin's Falafel House,4.7,479,$$,35.9149348,-84.0821925,"159 N Peters Rd, Knoxville, TN 37923",Knoxville,TN,"Middle Eastern, Greek, Falafel"
Landing House,4.1,122,$$,35.96027777675382,-83.90307074499287,"1147 Sevier Ave, Knoxville, TN 37920",Knoxville,TN,"Chinese, Cambodian, French"
Bistro By The Tracks - Bearden,4.0,9,,35.93526120662552,-83.99231968467882,"5448 Homberg Dr, Knoxville, TN 37919",Knoxville,TN,"New American, Seafood, Wine Bars"
Fai Thai Kitchen,4.4,39,,35.94278285886412,-83.97830329738035,"4451 Kingston Pike, Knoxville, TN 37919",Knoxville,TN,"Thai, Chicken Shop, Food Trucks"
Jai Dee Thai Kitchen,4.3,135,$$,36.00417719165033,-83.9851821233134,"5541 Clinton Hwy, Knoxville, TN 37912",Knoxville,TN,"Thai, Asian Fusion, Bubble Tea"
Gourmets Market & Café,4.0,255,$$,35.9395,-83.988742,"5107 Kingston Pike, Knoxville, TN 37919",Knoxville,TN,"Coffee & Tea, Breakfast & Brunch, American"
Aunt Nazzira Hummus Bar - Kerns Food Hall,4.8,4,,35.953406,-83.914603,"2201 Kerns Rising Way, Knoxville, TN 37920",Knoxville,TN,"Mediterranean, Egyptian"
Wicked Awesome Pizza,0.0,0,,35.94047201624761,-83.9793755,"4524 Old Kingston Pike, Knoxville, TN 37919",Knoxville,TN,Pizza
Union Jack's,3.9,57,$,35.9317945121496,-84.0017545223236,"124 Northshore Dr, Knoxville, TN 37919",Knoxville,TN,"Pubs, Sandwiches"
Sevier Avenue burger company,4.3,33,,35.959279,-83.903659,"1120 Sevier Ave, Knoxville, TN 37920",Knoxville,TN,Burgers
Guy Fieri's Flavortown Kitchen,2.2,12,,35.9143234770509,-84.00108241843641,"Knoxville, TN 37919",Knoxville,TN,"Food Delivery Services, Burgers, Chicken Wings"
Drake's,3.7,216,$$,35.9253153927405,-84.0336013667058,"242 Morrell Rd, Knoxville, TN 37919",Knoxville,TN,"American, Bars, Sushi Bars"
Gus's Good Times Deli,3.6,107,$,35.9558500414644,-83.9321180202909,"815 Melrose Pl, Knoxville, TN 37916",Knoxville,TN,"Delis, Burgers, Sandwiches"
Algo Delii,5.0,2,,35.92366761800432,-84.05833761534399,"8373 Kingston Pike, Ste 500, Knoxville, TN 37919",Knoxville,TN,"Venezuelan, Juice Bars & Smoothies"
Ale’ Rae’s Gastro Pub and Coffee Bar,4.2,64,$$,35.980867332521164,-83.92362113783719,"937 N Bdwy, Knoxville, TN 37917",Knoxville,TN,"Gastropubs, Coffee & Tea, Beer Bar"
Walk-On's Sports Bistreaux - Knoxville Restaurant,4.0,170,$$,35.9286803,-84.0376829,"7621 Kingston Pike, Knoxville, TN 37919",Knoxville,TN,"American, Sports Bars"
Altruda's,3.9,248,$$,35.9134331,-84.0822601,"125 N Peters Rd, Knoxville, TN 37923",Knoxville,TN,Italian
